Invoice_ID,Invoice_Date,Customer_Name,Invoice_Type,Contract_ID,Contract_Status,Contract_End_Date,Amount,Status,Notes
INV00000,2024-02-21,DEF Ltd,Auto,,No Contract,,86820,Overdue,Manual invoice for adhoc work
INV00001,2024-03-23,LMN Pvt,Auto,,No Contract,,54131,Overdue,Late payment expected
INV00002,2024-02-22,XYZ Ltd,Manual,,No Contract,,77969,Paid,Auto-generated from system
INV00003,2024-03-16,XYZ Ltd,Manual,CON956,Active,2024-12-31 00:00:00,35658,Overdue,Manual invoice for adhoc work
INV00004,2024-02-29,GHI Corp,Manual,,No Contract,,77435,Overdue,Contract billing
INV00005,2024-03-04,ABC Corp,Auto,,No Contract,,51606,Paid,Auto-generated from system
INV00006,2024-02-08,XYZ Ltd,Manual,,No Contract,,83969,Pending,Auto-generated from system
INV00007,2024-03-30,DEF Ltd,Manual,CON466,Expired,2024-03-15 00:00:00,58555,Paid,Urgent invoice
INV00008,2024-02-16,LMN Pvt,Manual,CON661,Expiring,2024-03-31 00:00:00,76557,Pending,Late payment expected
INV00009,2024-01-04,GHI Corp,Auto,,No Contract,,82409,Pending,Manual invoice for adhoc work
INV00010,2024-03-02,PQR Inc,Manual,,No Contract,,21534,Pending,High value client
INV00011,2024-03-02,DEF Ltd,Manual,,No Contract,,92798,Paid,Urgent invoice
INV00012,2024-01-26,ABC Corp,Manual,CON592,Active,2024-12-31 00:00:00,48044,Overdue,Adjustment entry
INV00013,2024-03-05,ABC Corp,Auto,CON228,Expired,2024-03-15 00:00:00,15258,Overdue,Auto-generated from system
INV00014,2024-01-08,LMN Pvt,Auto,,No Contract,,48660,Pending,High value client
INV00015,2024-02-10,PQR Inc,Auto,,No Contract,,88603,Pending,Auto-generated from system
INV00016,2024-02-17,GHI Corp,Manual,CON783,Expiring,2024-03-31 00:00:00,34538,Overdue,Auto-generated from system
INV00017,2024-02-16,GHI Corp,Auto,,No Contract,,16910,Pending,High value client
INV00018,2024-01-27,ABC Corp,Auto,CON653,Active,2024-12-31 00:00:00,60015,Overdue,Auto-generated from system
INV00019,2024-02-21,DEF Ltd,Manual,CON584,Expired,2024-03-15 00:00:00,81910,Paid,High value client
INV00020,2024-02-12,DEF Ltd,Manual,,No Contract,,91734,Overdue,Recurring billing
INV00021,2024-03-26,PQR Inc,Manual,CON673,Active,2024-12-31 00:00:00,12693,Pending,Late payment expected
